ID,A2006_11_BizGroup,A2006_11_Education,A2006_11_MonthsOfExp,A2006_12_BizGroup,A2006_12_Education,A2006_12_MonthsOfExp,A2007_1_BizGroup,A2007_1_Education,A2007_1_MonthsOfExp,A2007_2_BizGroup,A2007_2_Education,A2007_2_MonthsOfExp,A2007_3_BizGroup,A2007_3_Education,A2007_3_MonthsOfExp,A2007_4_BizGroup,A2007_4_Education,A2007_4_MonthsOfExp,A2007_5_BizGroup,A2007_5_Education,A2007_5_MonthsOfExp,A2007_6_BizGroup,A2007_6_Education,A2007_6_MonthsOfExp,A2007_7_BizGroup,A2007_7_Education,A2007_7_MonthsOfExp,A2007_8_BizGroup,A2007_8_Education,A2007_8_MonthsOfExp,A2007_9_BizGroup,A2007_9_Education,A2007_9_MonthsOfExp,A2007_10_BizGroup,A2007_10_Education,A2007_10_MonthsOfExp,A2007_11_BizGroup,A2007_11_Education,A2007_11_MonthsOfExp,A2007_12_BizGroup,A2007_12_Education,A2007_12_MonthsOfExp,A2008_1_BizGroup,A2008_1_Education,A2008_1_MonthsOfExp,A2008_2_BizGroup,A2008_2_Education,A2008_2_MonthsOfExp,A2008_3_BizGroup,A2008_3_Education,A2008_3_MonthsOfExp,A2008_4_BizGroup,A2008_4_Education,A2008_4_MonthsOfExp,A2008_5_BizGroup,A2008_5_Education,A2008_5_MonthsOfExp,A2008_6_BizGroup,A2008_6_Education,A2008_6_MonthsOfExp,A2008_7_BizGroup,A2008_7_Education,A2008_7_MonthsOfExp,A2008_8_BizGroup,A2008_8_Education,A2008_8_MonthsOfExp,A2008_9_BizGroup,A2008_9_Education,A2008_9_MonthsOfExp,A2008_10_BizGroup,A2008_10_Education,A2008_10_MonthsOfExp,A2008_11_BizGroup,A2008_11_Education,A2008_11_MonthsOfExp,A2008_12_BizGroup,A2008_12_Education,A2008_12_MonthsOfExp,A2009_1_BizGroup,A2009_1_Education,A2009_1_MonthsOfExp,A2009_2_BizGroup,A2009_2_Education,A2009_2_MonthsOfExp,A2009_3_BizGroup,A2009_3_Education,A2009_3_MonthsOfExp,A2009_4_BizGroup,A2009_4_Education,A2009_4_MonthsOfExp,A2009_5_BizGroup,A2009_5_Education,A2009_5_MonthsOfExp,A2009_6_BizGroup,A2009_6_Education,A2009_6_MonthsOfExp,A2009_7_BizGroup,A2009_7_Education,A2009_7_MonthsOfExp,A2009_8_BizGroup,A2009_8_Education,A2009_8_MonthsOfExp,A2009_9_BizGroup,A2009_9_Education,A2009_9_MonthsOfExp,A2009_10_BizGroup,A2009_10_Education,A2009_10_MonthsOfExp,A2009_11_BizGroup,A2009_11_Education,A2009_11_MonthsOfExp,A2009_12_BizGroup,A2009_12_Education,A2009_12_MonthsOfExp,A2010_1_BizGroup,A2010_1_Education,A2010_1_MonthsOfExp,A2010_2_BizGroup,A2010_2_Education,A2010_2_MonthsOfExp,A2010_3_BizGroup,A2010_3_Education,A2010_3_MonthsOfExp,A2010_4_BizGroup,A2010_4_Education,A2010_4_MonthsOfExp,A2010_5_BizGroup,A2010_5_Education,A2010_5_MonthsOfExp,A2010_6_BizGroup,A2010_6_Education,A2010_6_MonthsOfExp,A2010_7_BizGroup,A2010_7_Education,A2010_7_MonthsOfExp,A2010_8_BizGroup,A2010_8_Education,A2010_8_MonthsOfExp,A2010_9_BizGroup,A2010_9_Education,A2010_9_MonthsOfExp,A2010_10_BizGroup,A2010_10_Education,A2010_10_MonthsOfExp,A2010_11_BizGroup,A2010_11_Education,A2010_11_MonthsOfExp,A2010_12_BizGroup,A2010_12_Education,A2010_12_MonthsOfExp,A2011_1_BizGroup,A2011_1_Education,A2011_1_MonthsOfExp,A2011_2_BizGroup,A2011_2_Education,A2011_2_MonthsOfExp,A2011_3_BizGroup,A2011_3_Education,A2011_3_MonthsOfExp,A2011_4_BizGroup,A2011_4_Education,A2011_4_MonthsOfExp,A2011_5_BizGroup,A2011_5_Education,A2011_5_MonthsOfExp,A2011_6_BizGroup,A2011_6_Education,A2011_6_MonthsOfExp,A2011_7_BizGroup,A2011_7_Education,A2011_7_MonthsOfExp,A2011_8_BizGroup,A2011_8_Education,A2011_8_MonthsOfExp,A2011_9_BizGroup,A2011_9_Education,A2011_9_MonthsOfExp,A2011_10_BizGroup,A2011_10_Education,A2011_10_MonthsOfExp,A2011_11_BizGroup,A2011_11_Education,A2011_11_MonthsOfExp,A2011_12_BizGroup,A2011_12_Education,A2011_12_MonthsOfExp,A2012_1_BizGroup,A2012_1_Education,A2012_1_MonthsOfExp,A2012_2_BizGroup,A2012_2_Education,A2012_2_MonthsOfExp,A2012_3_BizGroup,A2012_3_Education,A2012_3_MonthsOfExp,A2012_4_BizGroup,A2012_4_Education,A2012_4_MonthsOfExp,A2012_5_BizGroup,A2012_5_Education,A2012_5_MonthsOfExp,A2012_6_BizGroup,A2012_6_Education,A2012_6_MonthsOfExp,A2012_7_BizGroup,A2012_7_Education,A2012_7_MonthsOfExp,A2012_8_BizGroup,A2012_8_Education,A2012_8_MonthsOfExp,A2012_9_BizGroup,A2012_9_Education,A2012_9_MonthsOfExp,A2012_10_BizGroup,A2012_10_Education,A2012_10_MonthsOfExp,A2012_11_BizGroup,A2012_11_Education,A2012_11_MonthsOfExp,A2012_12_BizGroup,A2012_12_Education,A2012_12_MonthsOfExp,A2013_1_BizGroup,A2013_1_Education,A2013_1_MonthsOfExp,A2013_2_BizGroup,A2013_2_Education,A2013_2_MonthsOfExp,A2013_3_BizGroup,A2013_3_Education,A2013_3_MonthsOfExp,A2013_4_BizGroup,A2013_4_Education,A2013_4_MonthsOfExp,A2013_5_BizGroup,A2013_5_Education,A2013_5_MonthsOfExp,A2013_6_BizGroup,A2013_6_Education,A2013_6_MonthsOfExp,A2013_7_BizGroup,A2013_7_Education,A2013_7_MonthsOfExp,A2013_8_BizGroup,A2013_8_Education,A2013_8_MonthsOfExp,A2013_9_BizGroup,A2013_9_Education,A2013_9_MonthsOfExp,A2013_10_BizGroup,A2013_10_Education,A2013_10_MonthsOfExp,A2013_11_BizGroup,A2013_11_Education,A2013_11_MonthsOfExp,A2013_12_BizGroup,A2013_12_Education,A2013_12_MonthsOfExp,A2014_1_BizGroup,A2014_1_Education,A2014_1_MonthsOfExp,A2014_2_BizGroup,A2014_2_Education,A2014_2_MonthsOfExp,A2014_3_BizGroup,A2014_3_Education,A2014_3_MonthsOfExp,A2014_4_BizGroup,A2014_4_Education,A2014_4_MonthsOfExp,A2014_5_BizGroup,A2014_5_Education,A2014_5_MonthsOfExp,A2014_6_BizGroup,A2014_6_Education,A2014_6_MonthsOfExp,A2014_7_BizGroup,A2014_7_Education,A2014_7_MonthsOfExp,A2014_8_BizGroup,A2014_8_Education,A2014_8_MonthsOfExp,A2014_9_BizGroup,A2014_9_Education,A2014_9_MonthsOfExp,A2014_10_BizGroup,A2014_10_Education,A2014_10_MonthsOfExp,A2014_11_BizGroup,A2014_11_Education,A2014_11_MonthsOfExp,A2014_12_BizGroup,A2014_12_Education,A2014_12_MonthsOfExp,A2015_1_BizGroup,A2015_1_Education,A2015_1_MonthsOfExp,A2015_2_BizGroup,A2015_2_Education,A2015_2_MonthsOfExp,A2015_3_BizGroup,A2015_3_Education,A2015_3_MonthsOfExp,A2015_4_BizGroup,A2015_4_Education,A2015_4_MonthsOfExp,A2015_5_BizGroup,A2015_5_Education,A2015_5_MonthsOfExp,A2015_6_BizGroup,A2015_6_Education,A2015_6_MonthsOfExp
3973869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arquitecture,0,0,Arquitecture,0,1,Arquitecture,0,2,Arquitecture,0,3,Arquitecture,0,4,Arquitecture,0,5,Arquitecture,0,6,Arquitecture,0,7,Arquitecture,0,8,Arquitecture,0,9,Arquitecture,0,10,Arquitecture,0,11,Arquitecture,3,12,Arquitecture,3,13,Arquitecture,3,14,Arquitecture,3,15,Arquitecture,3,16,Arquitecture,3,17,Arquitecture,3,18,Arquitecture,3,19,Arquitecture,3,20,Arquitecture,3,21,Arquitecture,3,22,Arquitecture,3,23,Arquitecture,3,24,Arquitecture,3,25,Platform Engineering,3,0,Platform Engineering,3,1,Platform Engineering,3,2,Platform Engineering,3,3,Platform Engineering,3,4,Platform Engineering,3,5,Platform Engineering,3,6,Platform Engineering,3,7,Platform Engineering,3,8,Platform Engineering,3,9,Platform Engineering,3,10,Platform Engineering,3,11,Platform Engineering,3,12,Platform Engineering,3,13,Platform Engineering,3,14
69392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,3,0,Manufacturing,3,1,Manufacturing,3,2,Manufacturing,3,3,Manufacturing,3,4,Manufacturing,3,5,Manufacturing,3,6,Manufacturing,3,7,Manufacturing,3,8,Manufacturing,3,9,Manufacturing,3,10,Manufacturing,3,11,Manufacturing,3,12,Manufacturing,3,13,Manufacturing,3,14,Manufacturing,3,15,Manufacturing,3,16,Manufacturing,3,17,Manufacturing,3,18,Manufacturing,3,19,Manufacturing,3,20,Manufacturing,3,21,Manufacturing,3,22,Manufacturing,3,23,Manufacturing,3,24,Manufacturing,3,25,Manufacturing,3,26,Manufacturing,3,27,Manufacturing,3,28,Manufacturing,3,29,Manufacturing,3,30,Manufacturing,3,31,Manufacturing,3,32,Manufacturing,3,33,Manufacturing,3,34,Manufacturing,3,35,Manufacturing,3,36,Manufacturing,3,37,Manufacturing,3,38,Manufacturing,3,39,Manufacturing,3,40,Manufacturing,3,41,Manufacturing,3,42,Manufacturing,3,43,Manufacturing,3,44,Manufacturing,3,45,Manufacturing,3,46,Manufacturing,3,47,Manufacturing,3,48,Manufacturing,3,49,Manufacturing,3,50,Manufacturing,3,51,Manufacturing,3,52,Manufacturing,3,53,Manufacturing,3,54,Manufacturing,3,55,Manufacturing,3,56,Manufacturing,3,57,Manufacturing,3,58,Manufacturing,3,59,Manufacturing,3,60,Manufacturing,3,61,Manufacturing,3,62,Manufacturing,3,63,Manufacturing,3,64,Manufacturing,3,65,Manufacturing,3,66,Manufacturing,3,67,Manufacturing,3,68,Manufacturing,3,69,Manufacturing,3,70,Manufacturing,3,71,Manufacturing,3,72,Manufacturing,3,73,Platform Engineering,3,0,Platform Engineering,3,1,Platform Engineering,3,2,Platform Engineering,3,3,Platform Engineering,3,4,Platform Engineering,3,5,Platform Engineering,3,6,Platform Engineering,3,7,Platform Engineering,3,8,Platform Engineering,3,9,Platform Engineering,3,10,Platform Engineering,3,11,Platform Engineering,3,12
110782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,0,0,IT,0,1,IT,0,2,IT,0,3,IT,0,4,IT,0,5,IT,0,6,IT,0,7,IT,0,8,IT,0,9,IT,0,10,IT,0,11,IT,0,12,IT,0,13,IT,0,14
44871,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,3,0,Manufacturing,3,1,Manufacturing,3,2,Manufacturing,3,3,Manufacturing,3,4,Manufacturing,3,5,Manufacturing,3,6,Manufacturing,3,7,Manufacturing,3,8,Manufacturing,3,9,Manufacturing,3,10,Manufacturing,3,11,Manufacturing,3,12,Manufacturing,3,13,Manufacturing,3,14,Manufacturing,3,15,Manufacturing,3,16,Manufacturing,3,17,Manufacturing,3,18,Manufacturing,3,19,Manufacturing,3,20,Manufacturing,3,21,Manufacturing,3,22,Manufacturing,3,23,Manufacturing,3,24,Manufacturing,3,25,Manufacturing,3,26,Manufacturing,3,27,Manufacturing,3,28,Manufacturing,3,29,Manufacturing,3,30,Manufacturing,3,31,Manufacturing,3,32,Manufacturing,3,33,Manufacturing,3,34,Manufacturing,3,35,Manufacturing,3,36,Manufacturing,3,37,Manufacturing,3,38,Manufacturing,3,39,Manufacturing,3,40,Manufacturing,3,41,Manufacturing,3,42,Manufacturing,3,43,Manufacturing,3,44,Manufacturing,3,45,Manufacturing,3,46,Manufacturing,3,47,Manufacturing,3,48,Manufacturing,3,49,Manufacturing,3,50,Manufacturing,3,51,Manufacturing,3,52,Manufacturing,3,53,Manufacturing,3,54,Manufacturing,3,55,Manufacturing,3,56,Manufacturing,3,57,Manufacturing,3,58,Manufacturing,3,59,Manufacturing,3,60,Manufacturing,3,61,Manufacturing,3,62,Manufacturing,3,63,Manufacturing,3,64,Manufacturing,3,65,Manufacturing,3,66,Manufacturing,3,67,Manufacturing,3,68,Manufacturing,3,69,Manufacturing,3,70,Manufacturing,3,71,Manufacturing,3,72,Manufacturing,3,73,Manufacturing,3,74,Manufacturing,3,75,Manufacturing,3,76,Manufacturing,3,77,Manufacturing,3,78,Manufacturing,3,79,Manufacturing,3,80,Communic.,3,0,Communic.,3,1,Communic.,3,2,Communic.,3,3,Communic.,3,4,Communic.,3,5,Communic.,3,6,Communic.,3,7,Communic.,3,8,Communic.,3,9,Communic.,3,10,Communic.,3,11,Communic.,3,12,Communic.,3,13
44844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform Engineering,1,0,Platform Engineering,1,1,Platform Engineering,1,2,Platform Engineering,1,3,Platform Engineering,1,4,Platform Engineering,1,5,Platform Engineering,1,6,Platform Engineering,1,7,Platform Engineering,1,8,Platform Engineering,1,9,Platform Engineering,1,10,Platform Engineering,1,11,Platform Engineering,1,12,Platform Engineering,1,13
44695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform Engineering,0,0,Platform Engineering,0,1,Platform Engineering,0,2,Platform Engineering,0,3,Platform Engineering,0,4,Platform Engineering,0,5,Platform Engineering,0,6,Platform Engineering,0,7,Platform Engineering,0,8,Platform Engineering,0,9,Platform Engineering,0,10,Platform Engineering,0,11,Platform Engineering,0,12,Platform Engineering,0,13
2924895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,3,0,Manufacturing,3,1,Manufacturing,3,2,Manufacturing,3,3,Manufacturing,3,4,Manufacturing,3,5,Manufacturing,3,6,Manufacturing,3,7,Manufacturing,3,8,Manufacturing,3,9,Manufacturing,3,10,Manufacturing,3,11,Manufacturing,3,12,Manufacturing,3,13,Manufacturing,3,14,Manufacturing,3,15,Manufacturing,3,16,Manufacturing,3,17,Manufacturing,3,18,Manufacturing,3,19,Manufacturing,3,20,Manufacturing,3,21,Platform Engineering,3,0,Platform Engineering,3,1,Platform Engineering,3,2,Platform Engineering,3,3,Platform Engineering,3,4,Platform Engineering,3,5,Platform Engineering,3,6,Platform Engineering,3,7,Platform Engineering,3,8,Platform Engineering,3,9,Platform Engineering,3,10,Platform Engineering,3,11,Platform Engineering,3,12,Platform Engineering,3,13
107064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform Engineering,3,0,Platform Engineering,3,1,Platform Engineering,3,2,Platform Engineering,3,3,Platform Engineering,3,4,Platform Engineering,3,5,Platform Engineering,3,6,Platform Engineering,3,7,Platform Engineering,3,8,Platform Engineering,3,9,Platform Engineering,3,10,Platform Engineering,3,11,Platform Engineering,3,12,Platform Engineering,3,13
66488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Platform Engineering,0,0,Platform Engineering,0,1,Platform Engineering,0,2,Platform Engineering,0,3,Platform Engineering,0,4,Platform Engineering,0,5,Platform Engineering,0,6,Platform Engineering,0,7,Platform Engineering,0,8,Platform Engineering,0,9,Platform Engineering,0,10,Platform Engineering,0,11,Platform Engineering,0,12,Platform Engineering,0,13,Platform Engineering,0,14
3360115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IT,0,0,IT,0,1,IT,0,2,IT,0,3,IT,0,4,IT,0,5,IT,0,6,IT,0,7,IT,0,8,IT,0,9,IT,0,10,IT,0,11,IT,0,12,IT,0,13,IT,0,14,IT,0,15,IT,0,16,IT,0,17,IT,0,18,IT,0,19,IT,0,20,IT,0,21,IT,0,22,IT,0,23,IT,0,24,IT,0,25,IT,0,26,IT,0,27,IT,0,28,IT,0,29,IT,0,30,IT,0,31,IT,0,32,IT,0,33,IT,0,34,IT,0,35,IT,0,36,IT,0,37,IT,0,38,IT,0,39,IT,0,40,IT,0,41,IT,0,42,IT,0,43,IT,0,44,IT,0,45,IT,0,46,IT,0,47,IT,0,48,IT,0,49,IT,0,50,IT,0,51,IT,0,52,IT,0,53,IT,0,54,IT,0,55,IT,0,56,IT,0,57,IT,0,58,IT,0,59,IT,0,60,IT,0,61,IT,0,62,IT,0,63,IT,0,64,IT,0,65,IT,0,66
1906957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digit. Enterp.,3,0,Digit. Enterp.,3,1,Digit. Enterp.,3,2,Digit. Enterp.,3,3,Digit. Enterp.,3,4,Digit. Enterp.,3,5,Digit. Enterp.,3,6,Digit. Enterp.,3,7,Digit. Enterp.,3,8,Digit. Enterp.,3,9,Digit. Enterp.,3,10,Digit. Enterp.,3,11,Digit. Enterp.,3,12,Digit. Enterp.,3,13,Digit. Enterp.,3,14,Digit. Enterp.,3,15,Digit. Enterp.,3,16,Digit. Enterp.,3,17,Digit. Enterp.,3,18,Digit. Enterp.,3,19,Digit. Enterp.,3,20,Digit. Enterp.,3,21,Digit. Enterp.,3,22,Digit. Enterp.,3,23,Digit. Enterp.,3,24,Digit. Enterp.,3,25,Digit. Enterp.,3,26,Digit. Enterp.,3,27,Digit. Enterp.,3,28,Digit. Enterp.,3,29,Digit. Enterp.,3,30,Digit. Enterp.,3,31,Digit. Enterp.,3,32,Digit. Enterp.,3,33,Digit. Enterp.,3,34,Digit. Enterp.,3,35,Digit. Enterp.,3,36,Digit. Enterp.,3,37,Digit. Enterp.,3,38,Digit. Enterp.,3,39,Digit. Enterp.,3,40,Digit. Enterp.,3,41,Digit. Enterp.,3,42,Digit. Enterp.,3,43,Digit. Enterp.,3,44,Digit. Enterp.,3,45,Digit. Enterp.,3,46,Digit. Enterp.,3,47,Digit. Enterp.,3,48,Digit. Enterp.,3,49,Digit. Enterp.,3,50,Digit. Enterp.,3,51,Digit. Enterp.,3,52,Digit. Enterp.,3,53,Digit. Enterp.,3,54,Digit. Enterp.,3,55,Digit. Enterp.,3,56,Digit. Enterp.,3,57,Digit. Enterp.,3,58,Digit. Enterp.,3,59,Digit. Enterp.,3,60,Digit. Enterp.,3,61,Digit. Enterp.,3,62,Digit. Enterp.,3,63,Digit. Enterp.,3,64,Digit. Enterp.,3,65,Digit. Enterp.,3,66,Digit. Enterp.,3,67,Digit. Enterp.,3,68,Digit. Enterp.,3,69,Digit. Enterp.,3,70,Digit. Enterp.,3,71,Digit. Enterp.,3,72,Platform Engineering,3,0,Platform Engineering,3,1,Platform Engineering,3,2,Platform Engineering,3,3,Platform Engineering,3,4,Platform Engineering,3,5,Platform Engineering,3,6,Platform Engineering,3,7,Platform Engineering,3,8,Platform Engineering,3,9,Platform Engineering,3,10,Platform Engineering,3,11,Platform Engineering,3,12,Platform Engineering,3,13,Platform Engineering,3,14
65877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,3,0,Manufacturing,3,1,Manufacturing,3,2,Manufacturing,3,3,Manufacturing,3,4,Manufacturing,3,5,Manufacturing,3,6,Manufacturing,3,7,Manufacturing,3,8,Manufacturing,3,9,Manufacturing,3,10,Manufacturing,3,11,Manufacturing,3,12,Manufacturing,3,13,Manufacturing,3,14,Manufacturing,3,15,Manufacturing,3,16,Manufacturing,3,17,Manufacturing,3,18,Manufacturing,3,19,Manufacturing,3,20,Manufacturing,3,21,Manufacturing,3,22,Manufacturing,3,23,Manufacturing,3,24,Manufacturing,3,25,Manufacturing,3,26,Manufacturing,3,27,Manufacturing,3,28,Manufacturing,3,29,Manufacturing,3,30,Manufacturing,3,31,Manufacturing,3,32,Manufacturing,3,33,Manufacturing,3,34,Manufacturing,3,35,Manufacturing,3,36,Manufacturing,3,37,Manufacturing,3,38,Manufacturing,3,39,Manufacturing,3,40,Manufacturing,3,41,Manufacturing,3,42,Manufacturing,3,43,Manufacturing,3,44,Manufacturing,3,45,Manufacturing,3,46,Manufacturing,3,47,Manufacturing,3,48,Manufacturing,3,49,Manufacturing,3,50,Manufacturing,3,51,Manufacturing,3,52,Manufacturing,3,53,Manufacturing,3,54,Manufacturing,3,55,Manufacturing,3,56,Manufacturing,3,57,Manufacturing,3,58,Manufacturing,3,59,Manufacturing,3,60,Manufacturing,3,61,Manufacturing,3,62,Manufacturing,3,63,Manufacturing,3,64,Manufacturing,3,65,Manufacturing,3,66,Manufacturing,3,67,Manufacturing,3,68,Manufacturing,3,69,IT,4,0,IT,4,1,IT,4,2,IT,4,3,IT,4,4,IT,4,5,IT,4,6,IT,4,7,IT,4,8,IT,4,9,IT,4,10,IT,4,11,IT,4,12,IT,4,13,IT,4,14
3747275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HR,0,0,HR,0,1,HR,0,2,HR,0,3,HR,0,4,HR,0,5,HR,0,6,HR,0,7,HR,0,8,HR,0,9,HR,0,10,HR,0,11,HR,0,12,HR,0,13,HR,0,14,HR,0,15,HR,0,16,HR,0,17,HR,0,18,HR,0,19,HR,0,20,HR,0,21,HR,0,22,HR,0,23,HR,0,24,HR,0,25,HR,0,26,HR,0,27,HR,0,28,HR,0,29,HR,0,30,HR,0,31,HR,0,32,HR,0,33,HR,0,34,HR,0,35,HR,0,36
230076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manufacturing,5,0,Manufacturing,5,1,Manufacturing,5,2,Manufacturing,5,3,Manufacturing,5,4,Manufacturing,5,5,Manufacturing,5,6,Manufacturing,5,7,Manufacturing,5,8,Manufacturing,5,9,Manufacturing,5,10,Manufacturing,5,11,Manufacturing,5,12,Manufacturing,5,13,Manufacturing,5,14,Manufacturing,5,15,Manufacturing,5,16,Manufacturing,5,17,Manufacturing,5,18,Manufacturing,5,19,Manufacturing,5,20,Manufacturing,5,21,Manufacturing,5,22,Manufacturing,5,23,Manufacturing,5,24,Manufacturing,5,25,Manufacturing,5,26,Manufacturing,5,27,Manufacturing,5,28,Manufacturing,5,29,Manufacturing,5,30,Manufacturing,5,31,Manufacturing,5,32,Manufacturing,5,33,Manufacturing,5,34,Manufacturing,5,35,Manufacturing,5,36,Manufacturing,5,37,Manufacturing,5,38,Manufacturing,5,39,Manufacturing,5,40,Manufacturing,5,41,Manufacturing,5,42,Manufacturing,5,43,Manufacturing,5,44,Manufacturing,5,45,Manufacturing,5,46,Manufacturing,5,47,Manufacturing,5,48,Manufacturing,5,49,Manufacturing,5,50,Manufacturing,5,51,Manufacturing,5,52,Manufacturing,5,53,Manufacturing,5,54,Manufacturing,5,55,Manufacturing,5,56,Manufacturing,5,57,Manufacturing,5,58,Manufacturing,5,59,Manufacturing,5,60,Manufacturing,5,61,Manufacturing,5,62,Manufacturing,5,63,Manufacturing,5,64,Manufacturing,5,65,Manufacturing,5,66,Manufacturing,5,67,Manufacturing,5,68,Manufacturing,5,69,Manufacturing,5,70,Manufacturing,5,71,Manufacturing,5,72,Manufacturing,5,73,Manufacturing,5,74,Manufacturing,5,75,Manufacturing,5,76,Manufacturing,5,77,Manufacturing,5,78,Manufacturing,5,79,Platform Engineering,5,0,Platform Engineering,5,1,Platform Engineering,5,2,Platform Engineering,5,3,Platform Engineering,5,4,Platform Engineering,5,5,Platform Engineering,5,6,Platform Engineering,5,7,Platform Engineering,5,8,Platform Engineering,5,9,Platform Engineering,5,10,Platform Engineering,5,11,Platform Engineering,5,12,Platform Engineering,5,13
